Paper Name,Author & Year,"Methodology / Approach (Modules, Methods, & Tech Stack)",Dataset Used,Key Findings (At least 3 main findings),Limitations,Future Scope
A System for Predicting Hospital Admission at Emergency Department Based on Electronic Health Record Using Convolution Neural Network,Yao et al. (2020),"• Core Technology: 2D Convolutional Neural Network (CNN) applied to structured tabular records by utilizing a non-image data-to-image transformation pipeline.• Modules Stack: Data pre-processing (cleansing and feature indexing), random under-sampling coupled with class weight balancing, 1D-to-2D feature mapping generating 120×120×3 input matrices.• Network Blocks: Four 2D convolutional layers with 4×1 kernels, max-pooling layers (2×2), Rectified Linear Units (ReLU), a dropout regularization module (0.5 rate), and a Sigmoid activation output layer.• Tech Stack: Python, Keras/TensorFlow framework, Adam Optimizer (0.0001 learning rate) executed on an Nvidia GeForce GTX 1080 Ti GPU environment.","National Hospital Ambulatory Medical Care Survey (NHAMCS) open dataset comprising 118,602 patient visits to United States EDs (2012–2016 survey cycles).","1. Predictive Accuracy: The custom 2D data-to-image CNN classifier achieves a robust Area Under the Receiver Operating Characteristic (AUROC) score of 0.86 and a global accuracy of 0.77.2. Class Imbalance Rectification: Implementing random under-sampling combined with loss-function class-weight adjustments successfully stops the deep network from ignoring the minority admission class.3. Feature Priority: Baseline ML evaluations confirm that triage-stage variables (age, arrival time, blood pressure, respiratory rate, and pain scale) hold significant distinct predictive signatures for downstream admission.","The five-level ESI scale causes massive crowding in Level 3, grouping vastly different severities together; heavily dependent on subjective nurse inputs.",Enhancing the system with hospital-specific real-time operational deployment and expanding the feature matrix to incorporate unstructured narrative chief complaint logs.
Deep Learning to Predict Hospitalization at Triage: Integration of Structured Data and Unstructured Text,Arnaud et al. (2020),"• Core Technology: Dual-channel parallel multimodal deep learning architecture merging structured indicators and free-text notes.• Structured Channel: Standard Multi-Layer Perceptron (MLP) mapping 15 numeric and 9 categorical fields with min-max scaling and one-hot encoding.• Text Channel: Natural Language Processing (NLP) pipeline executing case conversion, French language SnowballStemmer word roots, tokenization, and a Keras embedding layer returning dense vectors.• Fusion Module Stack: 1D Convolutional Neural Network (Conv1D) layers operating on embedded words, global max-pooling 1D blocks, output concatenation layer, and a final classification MLP.• Tech Stack: Python, NLTK, Pandas, Scikit-Learn, Keras.","Extensive institutional dataset from Amiens-Picardy University Hospital (APUH) in France, compiling 260,000 ED records across more than 4 years (2015–2019).","1. Multimodal Performance Boost: The dual-input text-plus-tabular deep architecture locks in a strong predictive accuracy with a ROC-AUC of 0.83.2. High Admission Threshold: Comprehensive metric statistics demonstrate that approximately 35% of all incoming triage encounters over the 4-year span result in hospital admission.3. Length of Stay Disparity: Data analytics reveal that discharged patients spend an average of 4h04m in the ED, which is exactly 18% lower than the stay duration of admitted patients.","Roughly 70,000 patient records suffered from entirely blank or missing textual triage note fields, introducing data sparsity challenges.",Validating the multimodal network architecture in real-time French clinical triage workflows and testing advanced context-aware Transformer blocks to extract hidden language patterns.
Dynamic Dempster Multi-Layer Perceptron for the prediction of admission patient in emergency department,Fakhfakh-Maala et al. (2022),"• Core Technology: Dynamic Dempster Multi-Layer Perceptron (DDMLP) integrating the Dempster-Shafer (D-S) mathematical theory of evidence with neural network backpropagation to model medical data uncertainty.• Forward Optimization Modules: Flexible input layer that dynamically alters neuron counts based on active, non-empty parameters per patient case.• Uncertainty & Weight Logic: Computes a Basic Belief Assignment (BBA) mass function for every incoming data variable using Dempster's rule of combination to systematically handle missing data points.• Network Weights Module: Converts computed BBAs into explicit Weight Belief Assignments (WBA) to dynamically guide signal propagation.• Backward Learning: Implements standard Back-Propagation (BP) to fine-tune network parameters during the training phase.",Real-world triage data provided by the Lille University Hospital Center (LUHC) in France under the national Inter and Intra Hospital Logistics Optimization project.,"1. Uncertainty Mitigation: The mathematical integration of D-S theory allows the system to systematically track and filter out high-conflict or incomplete medical evidence.2. Reduced Architectural Complexity: By completely ignoring inactive neurons that contain missing values, the dynamic framework significantly drops computational complexity and training time compared to standard MLPs.3. Intelligent Initialization: Calculating the early node connection weights via the WBA equation guides the backpropagation algorithm significantly faster than traditional random weight initialization.",The system's underlying normalized combination rule loses effectiveness if there is an exceptionally high degree of semantic conflict between data sources.,Scaling the DDMLP approach to comprehensively explore deep cross-correlations between distinct pairs of medical variables instead of assuming absolute feature independence.
Explainable AI for Trustworthy Clinical Decision Support: A Case-Based Reasoning System for Nursing Assistants,Liu & Tsai (2024),• Core Technology: Clinical Decision Support System (CDSS) merging Post-Hoc Explainable AI (XAI) with Retrieval-Augmented Generation (RAG).• Data Ingestion Module: De-identification protocol pipeline stripping personal information to maintain strict HIPAA privacy compliance.• Vector Database Stack: High-dimensional vector indexing database built using Facebook AI Similarity Search (FAISS) for lightning-fast sub-millisecond retrieval.• RAG Retrieval Engine: OpenAIEmbeddings processing model combined with a dual-path retrieval pipeline that cross-references real-time parameters with structured clinical case guidelines.• XAI Interface Module: Logic-tracing module that outputs historical case similarities and reasoning texts to validate the system's suggestions to staff.,"High-dimensional simulation dataset combining medical knowledge repositories, nursing case reports, licensing exam questions, and simulated wearable vitals.","1. Cognitive Load Alleviation: Multi-case simulations confirm that providing instant, evidence-grounded recommendations significantly drops cognitive load for frontline nursing assistants.2. Dynamic Logic Tracing: The XAI module establishes clear accountability by explicitly tracing a recommendation (e.g., fluid restriction in heart failure) back to matched past case successes.3. Multi-Source Data Synchronization: The FAISS vector database smoothly unifies highly volatile real-time streaming wearable sensor data (vitals) with static text guidelines.",The framework is preliminary and has only been thoroughly vetted through technical simulations rather than undergoing true live clinical field deployment.,"Scaling the system's vector retrieval capabilities to safely handle highly intricate, multi-condition patient profiles with intersecting chronic diagnoses."
Explainable NLP Model for Predicting Patient Admissions at Emergency Department Using Triage Notes,Arnaud et al. (2023),"• Core Technology: Transformer-based Natural Language Processing (NLP) text classifier combined with post-hoc model-agnostic interpretability tools.• Transformer Module: Bidirectional Encoder Representations from Transformers (BERT) language model architecture fine-tuned specifically for emergency domain text.• Explainability Stack: Local Interpretable Model-agnostic Explanations (LIME) framework applied to individual textual inference calls.• Feature isolation: Strict semantic-only modeling pipeline that fully drops all traditional numeric and categorical fields to force the system to learn exclusively from narrative syntax.• Tech Stack: Python, Transformers library, Hugging Face repository, ktrain low-code library wrapper, and the Keras framework.","Anonymized clinical dataset from Amiens-Picardy University Hospital in France containing over 260,000 ED visits spanning more than 4 years, approved under Hors Loi Jarde protocol PI2019 843 0066.","1. High Visual Interpretability: Integrating the post-hoc LIME architecture allows the system to systematically highlight the exact words or phrase structures that trigger an admission decision.2. Language Mapping Competence: Fine-tuned BERT embeddings successfully map complex, multi-word French clinical narratives of identical underlying medical meaning into tight vector clusters.3. Specialty Granularity: Beyond basic binary admission prediction, the data notes capture and group distinct target specialties into clear blocks: short-term care (42.4%), medical specialty (33%), and surgery (19.7%).",The focus on explainability means the text-only framework deliberately sacrifices minor marginal performance gains that could be achieved with tabular variables.,Conducting full clinical utility testing in an active emergency room environment to quantify how much visible word-highlighting field maps improve physician trust.
Improving Emergency Triage Accuracy with Gradient Boosting Algorithms and NLP-Derived Features,Esquivel Angel et al. (2025),"• Core Technology: Text-driven multi-class gradient boosting classification framework.• Preprocessing Module: Custom dictionary containing 150 medical abbreviations mapping acronyms to expanded syntax via regular expressions, combined with lowercase translation, punctuation stripping, and SpaCy lemmatization (es_core_news_sm).• Vectorization Stack: Word2Vec model running a highly parallelized Skip-gram architecture to build a continuous multidimensional semantic space.• Optimization & Balancing Modules: Aquila Optimizer swarm-intelligence metaheuristic engine automatically tuning hyperparameters, paired with a Synthetic Minority Over-sampling Technique (SMOTE) balancing loop.• Classification Algorithms: CatBoost (Categorical Boosting), XGBoost, and LightGBM.","Real-world clinical dataset from the Hospital Regional de Talca emergency department in Chile, tracking adult patient records over a 1-year period (2016–2017).","1. CatBoost Algorithm Victory: The custom-tuned CatBoost model outpaces alternative algorithms, securing a multi-class triage accuracy score of 0.733 and a weighted F1-score of 0.731.2. Semantic Clustering Verity: t-SNE dimensionality projections prove the optimized Word2Vec engine successfully groups highly variable unstandardized clinical text into cohesive groups.3. Extreme Class Rectification: Standardizing synthetic SMOTE caps (10,000 instances for micro-classes; 15,000 for mid-classes) effectively shields the models from severe baseline frequency skewing.","Extreme triage labels (C1 vital emergencies and C5 non-emergencies) collectively represent less than 2% of real-world data, creating severe training sample sparsity.",Integrating structural vital sign streams alongside the Word2Vec text matrices to construct an fully unified multimodal local triage support system.
Interpretable Machine Learning for Emergency Department Triage: A Systematic Literature Review,Jonatha & Lubis (2025),"• Core Technology: Systematic Literature Review (SLR) evaluating the global landscape of Interpretable Machine Learning (IML) applied to emergency triage.• Methodological Modules: PRISMA 2020 protocol mapping, PICOC scope constraint tracking, and automated relational keyword Boolean searching.• Quality Evaluation Stack: 12-point quality checklist derived by explicitly modifying the MINIMAR reporting framework for ML and CONSORT-AI clinical trial guidelines.• Analytics Categorization: Grouping platforms into post-hoc explanation methods (SHAP, LIME) versus inherently transparent scoring models (AutoScore, SERP).","Multi-database metanalysis filtering 362 initial search results down to 25 core peer-reviewed journal studies across Scopus, IEEE Xplore, ACM Digital Library, PubMed, ScienceDirect, and Springer.","1. Dominant High-Performance Range: Across the entire reviewed global IML domain, validated models consistently deliver high prediction accuracies, with AUROC metrics tightly bounded between 0.78 and 0.96.2. Algorithmic Seniority: Gradient boosting variants (XGBoost, LightGBM, CatBoost) combined with post-hoc SHAP metrics function as the most popular framework configuration.3. AutoScore Proportional Trade-Off: Inherently transparent systems like AutoScore score slightly lower on pure AUROC (averaging ~0.88) but represent the gold standard for effortless medical readability.","High reliance on structured EHR entries leaves narrative data underutilized; data is heavily biased toward high-income countries, lacking representation for LMICs.",Shifting research models from pure clinical survival outputs toward operational workflow metrics like patient waiting delays and staff allocation matrices.
M³Stroke: Multi-Modal Mobile AI for Emergency Triage of Mild to Moderate Acute Strokes,Cai et al. (2024),"• Core Technology: Non-invasive, on-device audio-visual multi-modal fusion mobile AI screening engine (M³Encoder).• Video Branch: Square face localization cropping bounding boxes via the Apple Vision framework, feeding frame sequences into a ResNet-34 frame encoder pre-trained on the FairFace dataset.• Audio Branch Stack: Dual tracking consisting of a ResNet-18 Local Audio Encoder (ESC-50 pre-trained) for fine details, and an Audio Spectrogram Transformer (AST) for global spectrogram attention.• Sequence Modeling Module: Structured State-Space sequence model (S4) utilizing High-Order Polynomial Projection Operator (HiPPO) theory to compute long temporal patterns at linear O(L) efficiency.• Loss Stack: Adversarial loss coupled with Mean Squared Error (MSE) within a Joint Identity Disentangle module to strip facial identity features from the network.• Tech Stack: iOS app deployed offline on iPad Pro M-series chips using native on-board computing.",Institutional clinical dataset containing 269 emergency patients suspected of acute stroke (191 stroke-positive confirmed via diffusion-weighted MRI; 78 stroke mimics).,"1. Outperforming Clinicians: The mobile application drastically beats standard clinical nurse triage, delivering a 16.82% increase in accuracy, 20.44% higher sensitivity, and a 14.29% gain in specificity.2. Operational Speed Execution: The optimized, optical-flow-free mathematical formulation achieves full speech recording, pre-processing, and inference fully on-device within 3 minutes.3. S4 Sequence Modeling Success: Harnessing the S4 structured state-space sequence design completely bypasses the gradient breakdown limitations of RNNs/LSTMs over long face videos.","Facial cosmetics, highly complex irregular multi-person backgrounds, or ambient lighting changes can interfere with delicate spatiotemporal micro-expression extraction.","Initiating multi-center emergency transportation ambulance field trials, expanding self-monitoring tele-stroke services, and proving demographic algorithmic fairness."
"Machine Learning-Based Pre-Diagnosis Tools in Emergency Departments: Predicting Hospitalization, Mortality and Triage Acuity",Yaddaden et al. (2023),"• Core Technology: Feature-engineered multi-task pre-diagnostic machine learning classification pipeline.• Pre-processing Module: Multivariate Imputation by Chained Equations (MICE) to iteratively fill missing values, coupled with clinical outlier thresholds and categorical mode mapping.• Feature Extraction Block: Polynomial Features (PF) transformation module designed to explicitly map intricate non-linear cross-multiplication interactions between variables.• Dimensionality Reduction: Principal Component Analysis (PCA) to condense the exploded polynomial feature space into linear principal components.• Classification Classifiers Stack: Random Forest (RF), Logistic Regression (LR), and Decision Tree (DT) classifiers evaluated across multi-task binary and multiclass configurations.","High-fidelity clinical subsets extracted from the Medical Information Mart for Intensive Care IV (MIMIC-IV) and MIMIC-IV ED databases, profiling up to 200,000 samples across 95 variables.","1. Peak Predictive Accuracies: The polynomial feature-engineered pipeline secures top-tier accuracy metrics: 97.00% for binary hospitalization, 86.41% for mortality, and 99.80% for ESI triage acuity.2. Non-Linear Interdependency Capture: Incorporating the custom Polynomial Features transformation step discovers highly vital non-linear cross-interactions among clinical vitals that standard ML pipelines miss.3. PCA Interpretation Clarity: Running a final PCA stage effectively compresses high-dimensional variables down to essential components, optimizing data storage and system speed.","Variables containing more than 30% missing values have to be fully dropped, which can filter out potentially valuable clinical indicators.",Designing an active e-triage software module to display real-time interactive risk alert bars for emergency nurses during high-volume intake hours.
NLP-Based Prediction of Medical Specialties at Hospital Admission Using Triage Notes,Arnaud et al. (2021),"• Core Technology: Dual-channel parallel deep learning framework integrating standard tabular indicators with narrative text.• Tabular MLP Channel: Multi-Layer Perceptron (MLP) mapping 9 categorical and 15 numeric triage fields using one-hot matrix formatting and linear scaling.• Text CNN Channel: French language NLP pipeline executing token merging, NLTK-driven lowercase normalization, French SnowballStemmer mapping, vectorization, and dense word embeddings feeding parallel 1D CNN filtering channels.• Aggregation Stack: Mid-level feature fusion module that concatenates the output vectors of both the tabular MLP and text CNN into a unified global feature map.• Tech Stack: Python, Pandas, Scikit-Learn, NLTK, Pyspellchecker, and the Keras deep learning framework.","Institutional administrative dataset provided by the Amiens-Picardy University Hospital (APUH) in France, capturing 260,000 individual ED encounters (2015–2019).","1. Early Specialty Routing: The model accurately maps incoming triage text directly to three major downstream clinical destinations: Short-Term Care Units (42.4%), Medical Specialties (33%), and Surgical Departments (19.7%).2. French Language Customization: Successfully implements native French text preprocessing (including pyspellchecker validations) to process non-English triage data without translation layer loss.3. Feature Map Cohesion: Merging the multi-channel Conv1D text outputs directly with the tabular layer's dense vectors delivers significantly higher accuracy metrics than running text or numbers in isolation.","Missing or entirely blank narrative nursing notes across approximately 70,000 patient rows created massive gaps in the text channel data.",Replacing the baseline parallel 1D CNN architecture with state-of-the-art multi-head attention Transformer networks to further capture long-distance sentence contexts.
